,CreditScore,FirstTimeHomebuyer,MSA,MIP,DTI,OrigUPB,LTV,OrigInterestRate,NumBorrowers,MonthsInRepayment,FirstPayment_Year,Maturity_Year,LTV_range,Repay_range,Credit_range
0,670.5336708,0,16974,25,27,117000,89,6.75,2,52,1999,2029,High,2,Good
1,670.5336708,0,19740,0,17,109000,73,6.5,1,144,1999,2029,High,4,Good
2,670.5336708,0,29940,0,16,88000,75,6.875,2,67,1999,2029,High,2,Good
3,670.5336708,0,31084,0,14,160000,76,6.875,2,35,1999,2029,High,1,Good
4,670.5336708,0,35644,0,18,109000,78,7.125,2,54,1999,2029,High,2,Good
5,670.5336708,0,30660,25,40,207000,89,7.125,2,42,1999,2029,High,1,Good
6,670.5336708,0,30660,25,21,111000,90,6.875,1,44,1999,2029,High,1,Good
7,670.5336708,0,36740,0,20,97000,72,6.75,1,145,1999,2029,High,4,Good
8,670.5336708,1,25540,30,38,55000,95,7,1,64,1999,2027,High,2,Good
9,670.5336708,1,48620,30,27,35000,95,7.125,1,212,1999,2029,High,5,Good
10,670.5336708,0,12060,0,19,126000,80,6.5,2,37,1999,2029,High,1,Good
11,670.5336708,0,12060,12,18,200000,77,6.75,1,47,1999,2029,High,1,Good
12,670.5336708,0,12060,12,38,70000,85,6.75,1,53,1999,2029,High,2,Good
13,670.5336708,0,12060,25,19,93000,90,7.25,2,55,1999,2029,High,2,Good
14,670.5336708,0,12060,25,23,79000,90,6.625,2,66,1999,2029,High,2,Good
15,670.5336708,0,12060,25,45,54000,90,7,1,55,1999,2029,High,2,Good
16,670.5336708,0,12060,30,28,80000,95,7.75,1,55,1999,2029,High,2,Good
17,670.5336708,0,12420,25,27,231000,90,6.75,2,26,1999,2029,High,1,Good
18,670.5336708,0,13140,25,29,145000,90,6.5,2,38,1999,2029,High,1,Good
19,670.5336708,0,13644,25,15,187000,90,6.75,1,36,1999,2029,High,1,Good
20,670.5336708,0,15764,25,43,148000,90,7,2,39,1999,2029,High,1,Good
21,670.5336708,0,16700,0,29,79000,80,6.75,1,40,1999,2029,High,1,Good
22,670.5336708,0,16940,12,15,90000,85,6.625,2,11,1999,2029,High,1,Good
23,670.5336708,0,16940,30,25,65000,93,6.75,1,55,1999,2029,High,2,Good
24,670.5336708,0,16974,0,17,86000,70,6.75,1,176,1999,2029,High,4,Good
25,670.5336708,0,16974,0,16,122000,74,6.75,1,46,1999,2029,High,1,Good
26,670.5336708,0,16974,0,24,157000,75,7.2,1,197,1999,2029,High,5,Good
27,670.5336708,0,16974,0,43,55000,79,7.5,1,210,1999,2029,High,5,Good
28,670.5336708,0,16974,12,29,94000,85,6.75,1,56,1999,2029,High,2,Good
29,670.5336708,0,16974,25,28,63000,89,7,2,118,1999,2029,High,3,Good
30,670.5336708,0,16974,25,17,50000,90,7,1,63,1999,2029,High,2,Good
31,670.5336708,0,16974,30,45,109000,95,6.875,1,38,1999,2029,High,1,Good
32,670.5336708,0,17900,30,18,100000,95,6.625,1,46,1999,2029,High,1,Good
33,670.5336708,0,19124,0,26,191000,75,6.875,2,24,1999,2029,High,1,Good
34,670.5336708,0,19124,0,20,204000,80,6.75,1,28,1999,2029,High,1,Good
35,670.5336708,0,19124,30,40,117000,95,6.75,1,91,1999,2029,High,2,Good
36,670.5336708,0,20500,0,35,222000,80,6.625,1,54,1999,2029,High,2,Good
37,670.5336708,0,20500,25,29,189000,90,6.625,1,50,1999,2029,High,2,Good
38,670.5336708,0,20764,0,46,57000,85,7.625,1,24,1999,2029,High,1,Good
39,670.5336708,0,20764,0,24,202000,80,6.875,2,22,1999,2029,High,1,Good
40,670.5336708,0,20764,30,21,137000,95,7.25,1,28,1999,2029,High,1,Good
41,670.5336708,0,21340,30,18,56000,95,7.5,1,211,1999,2029,High,5,Good
42,670.5336708,0,22380,0,29,140000,80,6.625,1,212,1999,2029,High,5,Good
43,670.5336708,0,22744,0,39,18000,75,7.125,1,199,1999,2029,High,5,Good
44,670.5336708,0,22744,30,35,109000,95,7.875,2,39,1999,2029,High,1,Good
45,670.5336708,0,23060,30,33,76000,95,7,1,55,1999,2029,High,2,Good
46,670.5336708,0,23104,30,25,77000,95,6.75,2,56,1999,2029,High,2,Good
47,670.5336708,0,24660,30,38,109000,95,7.25,1,23,1999,2029,High,1,Good
48,670.5336708,0,24860,0,16,100000,70,6.5,2,30,1999,2029,High,1,Good
49,670.5336708,0,24860,0,24,151000,72,6.75,2,35,1999,2029,High,1,Good
50,670.5336708,0,24860,30,23,118000,95,6.875,1,125,1999,2029,High,3,Good
51,670.5336708,0,24860,30,48,182000,95,6.75,2,41,1999,2029,High,1,Good
52,670.5336708,0,25060,0,30,98000,76,6.875,1,211,1999,2029,High,5,Good
53,670.5336708,0,25540,0,31,89000,80,6.25,1,76,1999,2029,High,2,Good
54,670.5336708,0,26900,0,30,172000,80,6.5,1,54,1999,2029,High,2,Good
55,670.5336708,0,27060,25,15,82000,90,7.125,1,49,1999,2029,High,2,Good
56,670.5336708,0,27140,0,22,240000,62,6.5,1,47,1999,2029,High,1,Good
57,670.5336708,0,27260,30,20,102000,95,7.125,2,44,1999,2029,High,1,Good
58,670.5336708,0,28420,30,18,173000,95,6.625,2,18,1999,2029,High,1,Good
59,670.5336708,0,29404,0,17,200000,44,6.75,1,66,1999,2029,Medium,2,Good
60,670.5336708,0,30780,30,31,77000,95,6.625,1,212,1999,2029,High,5,Good
61,670.5336708,0,31084,0,56,51000,32,7.5,1,19,1999,2029,Medium,1,Good
62,670.5336708,0,31084,0,19,169000,64,7.125,2,44,1999,2029,High,1,Good
63,670.5336708,0,31084,0,38,101000,78,7.125,2,43,1999,2029,High,1,Good
64,670.5336708,0,31084,0,32,152000,80,6.625,1,211,1999,2029,High,5,Good
65,670.5336708,0,31084,30,28,50000,91,7.5,1,60,1999,2029,High,2,Good
66,670.5336708,0,31084,30,12,141000,95,6.75,2,54,1999,2029,High,2,Good
67,670.5336708,0,31340,0,39,47000,73,6.5,1,83,1999,2029,High,2,Good
68,670.5336708,0,33124,0,24,90000,53,6.75,1,95,1999,2029,High,2,Good
69,670.5336708,0,33124,0,6,126000,70,8.125,1,29,1999,2029,High,1,Good
70,670.5336708,0,33124,30,24,128000,95,7.75,1,45,1999,2029,High,1,Good
71,670.5336708,0,33124,30,31,133000,95,7.625,1,13,1999,2029,High,1,Good
